Title,Author,State,District,Date,Ban Status,lat,lon,year
Beyond Magenta: Transgender Teens Speak Out,"Kuklin, Susan",Texas,North East Independent School District,2021-12-01,Banned Pending Investigation,31.054487,-97.563461,2021.0
Beyond Magenta: Transgender Teens Speak Out,"Kuklin, Susan",Texas,Waller Independent School District,2021-11-01,Banned Pending Investigation,31.054487,-97.563461,2021.0
Beyond Magenta: Transgender Teens Speak Out,"Kuklin, Susan",Utah,Canyons School District,2021-10-01,Banned Pending Investigation,40.150032,-111.862434,2021.0
Beyond Magenta: Transgender Teens Speak Out,"Kuklin, Susan",Virginia,Virginia Beach City Public Schools,2021-10-01,Banned Pending Investigation,37.769337,-78.169968,2021.0
Lost and Found Cat : The True Story of Kunkush's Incredible Journey,"Kuntz, Doug",Florida,Duval County Public Schools,2022-01-01,Banned Pending Investigation,27.766279,-81.686783,2022.0
The Purim Superhero,"Kushner, Elisabeth",Florida,Walton County School District,2022-04-01,Banned Pending Investigation,27.766279,-81.686783,2022.0
El color de la piel,"La Grotteria, Coni",Pennsylvania,Central York School District,2021-08-01,Banned in Classrooms,40.590752,-77.209755,2021.0
Be Dazzled,"La Sala, Ryan",Tennessee,Collierville Schools,2022-02-01,Banned Pending Investigation,35.747845,-86.692345,2022.0
Reverie,"La Sala, Ryan",Texas,North East Independent School District,2021-12-01,Banned Pending Investigation,31.054487,-97.563461,2021.0
Who Was Maya Angelou? (Who was...? Series),"Labrecque, Ellen",Pennsylvania,Central York School District,2021-08-01,Banned in Classrooms,40.590752,-77.209755,2021.0
Everything Leads to You,"LaCour, Nina",Texas,North East Independent School District,2021-12-01,Banned Pending Investigation,31.054487,-97.563461,2021.0
We Are Okay,"LaCour, Nina",Tennessee,Collierville Schools,2022-02-01,Banned Pending Investigation,35.747845,-86.692345,2022.0
You Know Me Well,"LaCour, Nina",Texas,Granbury Independent School District,2022-01-01,Banned Pending Investigation,31.054487,-97.563461,2022.0
You Know Me Well,"LaCour, Nina",Texas,North East Independent School District,2021-12-01,Banned Pending Investigation,31.054487,-97.563461,2021.0
The Dreamkeepers: Successful Teachers of African American Children,"Ladson-Billings, Gloria",Pennsylvania,Central York School District,2021-08-01,Banned in Classrooms,40.590752,-77.209755,2021.0
¡Vámonos! Let's Go!,"Lainez, Rene Colato",Pennsylvania,Central York School District,2021-08-01,Banned in Classrooms,40.590752,-77.209755,2021.0
